"a","s","l"
"JReprodFertil","J. Reprod. Fertil.","Journal of Reproduction and Fertility"
"JReprodFertilAbstrSer","J. Reprod. Fertil. Abstr. Ser.","Journal of Reproduction and Fertility. Abstract Series"
"JReprodFertilSuppl","J. Reprod. Fertil. Suppl.","Journal of Reproduction and Fertility. Supplement"
"JReprodImmunol","J. Reprod. Immunol.","Journal of Reproductive Immunology"
"JReprodMed","J. Reprod. Med.","Journal of Reproductive Medicine"
"JResPers","J. Res. Pers.","Journal of Research in Personality"
"JournalofResearchontheLepidoptera","Journal of Research on the Lepidoptera","Journal of Research on the Lepidoptera"
"JResLepid","J. Res. Lepid.","Journal of Research on the Lepidoptera"
"JRheumatol","J. Rheumatol.","Journal of Rheumatology"
"JRheumatolSuppl","J. Rheumatol. Suppl.","Journal of Rheumatology. Supplement"
"JRisk","J. Risk","Journal of Risk"
"JSchHealth","J. Sch. Health","Journal of School Health"
"JSeaRes","J. Sea Res.","Journal of Sea Research"
"JSexMaritalTher","J. Sex Marital Ther.","Journal of Sex and Marital Therapy"
"JShellfishRes","J. Shellfish Res.","Journal of Shellfish Research"
"JSimulation","J. Simulation","Journal of Simulation"
"JSleepRes","J. Sleep Res.","Journal of Sleep Research"
"JSocPsychol","J. Soc. Psychol.","Journal of Social Psychology"
"JSoilWaterConserv","J. Soil Water Conserv.","Journal of Soil and Water Conservation"
"JSoilSci","J. Soil Sci.","Journal of Soil Science"
"JSpeechHearRes","J. Speech Hear Res.","Journal of Speech and Hearing Research"
"JSpinalDisordTech","J. Spinal Disord. Tech.","Journal of Spinal Disorders & Techniques"
"JSportsMedPhysFitness","J. Sports Med. Phys. Fitness","Journal of Sports Medicine and Physical Fitness"
"JSportsSci","J. Sports Sci.","Journal of Sports Sciences"
"JStatComputSimulation","J. Stat. Comput. Simulation","Journal of Statistical Computation and Simulation"
"JStatSoft","J. Stat. Soft.","Journal of Statistical Software"
"JSteroidBiochemMolBiol","J. Steroid Biochem. Mol. Biol.","Journal of Steroid Biochemistry and Molecular Biology"
"JStoredProdRes","J. Stored Prod. Res.","Journal of Stored Products Research"
"JStructFunctGenomics","J. Struct. Funct. Genomics","Journal of Structural and Functional Genomics"
"JStructBiol","J. Struct. Biol.","Journal of Structural Biology"
"JStudAlcohol","J. Stud. Alcohol.","Journal of Studies on Alcohol ("
"JSubmicroscCytolPathol","J. Submicrosc. Cytol. Pathol.","Journal of Submicroscopic Cytology and Pathology"
"JSubstAbuseTreat","J. Subst. Abuse Treat.","Journal of Substance Abuse Treatment"
"JSurgOncol","J. Surg. Oncol.","Journal of Surgical Oncology"
"JSurgOncolSuppl","J. Surg. Oncol. Suppl.","Journal of Surgical Oncology. Supplement"
"JSurgRes","J. Surg. Res.","Journal of Surgical Research"
"JsystEvol","J. Syst. Evol.","Journal of Systematics and Evolution"
"JAcoustSocAm","J. Acoust. Soc. Am.","Journal of the Acoustical Society of America"
"JAirWasteManageAssoc","J. Air Waste Manage. Assoc.","Journal of the Air and Waste Management Association"
"JAmAcadAudiol","J. Am. Acad. Audiol.","Journal of the American Academy of Audiology"
"JAmAcadChildAdolescPsychiatry","J. Am. Acad. Child Adolesc. Psychiatry","Journal of the American Academy of Child and Adolescent Psychiatry"
"JAmAcadDermatol","J. Am. Acad. Dermatol.","Journal of the American Academy of Dermatology"
"JAmAcadOrthopSurg","J. Am. Acad. Orthop. Surg.","Journal of the American Academy of Orthopaedic Surgeons"
"JAmAcadPsychoanal","J. Am. Acad. Psychoanal.","Journal of the American Academy of Psychoanalysis"
"JAmBoardFamPract","J. Am. Board Fam. Pract.","Journal of the American Board of Family Practice"
"JAmChemSoc","J. Am. Chem. Soc.","Journal of the American Chemical Society"
"JAmCollCardiol","J. Am. Coll. Cardiol.","Journal of the American College of Cardiology"
"JACC","JACC","Journal of the American College of Cardiology"
"JAmCollDent","J. Am. Coll. Dent.","Journal of the American College of Dentists"
"JAmCollHealth","J. Am. Coll. Health","Journal of the American College of Health"
"JAmCollNutr","J. Am. Coll. Nutr.","Journal of the American College of Nutrition"
"JACS","JACS","Journal of the American College of Surgery"
"JAmDentAssoc","J. Am. Dent. Assoc.","Journal of the American Dental Association"
"JAmDietAssoc","J. Am. Diet. Assoc.","Journal of the American Dietetic Association"
"JAmGeriatrSoc","J. Am. Geriatr. Soc.","Journal of the American Geriatrics Society"
"JAMA","JAMA","Journal of the American Medical Association"
"JAmMedWomAssoc","J. Am. Med. Wom. Assoc.","Journal of the American Medical Women's Association"
"JAMWA","JAMWA","Journal of the American Medical Women's Association"
"JAmMosqControlAssoc","J. Am. Mosq. Control. Assoc.","Journal of the American Mosquito Control Association"
"JAmMosqControlAssocSuppl","J. Am. Mosq. Control. Assoc. Suppl.","Journal of the American Mosquito Control Association. Supplement"
"JAmOsteopathAssoc","J. Am. Osteopath. Assoc.","Journal of the American Osteopathic Association"
"JAmParaplegiaSoc","J. Am. Paraplegia Soc.","Journal of the American Paraplegia Society"
"JAmPharmAssoc","J. Am. Pharm. Assoc.","Journal of the American Pharmaceutical Association"
"JAmPodiatrMedAssoc","J. Am. Podiatr. Med. Assoc.","Journal of the American Podiatric Medical Association"
"JAmPsychoanalAssoc","J. Am. Psychoanal. Assoc.","Journal of the American Psychoanalytic Association"
"JAmSocEchocardiogr","J. Am. Soc. Echocardiogr.","Journal of the American Society of Echocardiography"
"JAmSocHorticSci","J. Am. Soc. Hortic. Sci.","Journal of the American Society of Horticultural Science"
"JAmSocNephrol","J. Am. Soc. Nephrol.","Journal of the American Society of Nephrology"
"JASN","JASN","Journal of the American Society of Nephrology"
"jasa","J. Am. Stat. Assoc.","Journal of the American Statistical Association"
"JAmVetMedAssoc","J. Am. Vet. Med. Assoc.","Journal of the American Veterinary Medical Association"
"JArkansasMedSoc","J. Arkansas Med. Soc.","Journal of the Arkansas Medical Society"
"JAsSocBeng","J. As. Soc. Beng.","Journal of the Asiatic Society of Bengal"
"JAssocPhysiciansIndia","J. Assoc. Physicians India","Journal of the Association of Physicians of India"
"JAPI","JAPI","Journal of the Association of Physicians of India"
"JAutonNervSyst","J. Auton. Nerv. Syst.","Journal of the Autonomic Nervous System"
"JBiolInorgChemSoc","J. Biol. Inorg. Chem. Soc.","Journal of the Biological Inorganic Chemistry Society"
"JChinInstEngin","J. Chin. Inst. Eng.","Journal of the Chinese Institute of Engineers"
"JEgyptPublicHealthAssoc","J. Egypt. Public Health Assoc.","Journal of the Egyptian Public Health Association"
"JEgyptSocParasitol","J. Egypt. Soc. Parasitol.","Journal of the Egyptian Society of Parasitology"
"JExpAnalBehav","J. Exp. Anal. Behav.","Journal of the Experimental Analysis of Behavior"
"JFishResBoardCan","J. Fish. Res. Board Can.","Journal of the Fisheries Research Board of Canada"
"jfrbc","J. Fish. Res. Bd. Can.","Journal of the Fisheries Resource Board of Canada"
"JFlaMedAssoc","J. Fla. Med. Assoc.","Journal of the Florida Medical Association"
"JGayLesbianMedAssoc","J. Gay Lesbian Med. Assoc.","Journal of the Gay and Lesbian Medical Association"
"JGLMA","JGLMA","Journal of the Gay and Lesbian Medical Association"
"JHistMedAlliedSci","J. Hist. Med. Allied Sci.","Journal of the History of Medicine and Allied Sciences"
"JHistBehavSci","J. Hist. Behav. Sci.","Journal of the History of the Behavioral Sciences"
"JIndianMedAssoc","J. Indian Med. Assoc.","Journal of the Indian Medical Association"
"JIMA","JIMA","Journal of the Indian Medical Associations"
"JIntSocPlastination","J. Int. Soc. Plastination","Journal of the International Society for Plastination"
"JJATS","JJATS","Journal of the Japanese Association for Thoracic Surgery"
"JKansasEntomolSoc","J. Kansas Entomol. Soc.","Journal of the Kansas Entomological Society"
"JKyMedAssoc","J. Ky. Med. Assoc.","Journal of the Kentucky Medical Association"
"JLaStateMedSoc","J. La. State Med. Soc.","Journal of the Louisiana State Medical Society"
"JMarBiolAssocUK","J. Mar. Biol. Assoc. UK","Journal of the Marine Biological Association of the United Kingdom"
"jmbauk","J. Mar. Biol. Assoc. UK.","Journal of the Marine Biological Association of the United Kingdom"
"jmbap","J. Mar. Biol. Assoc. Plymouth","Journal of the Marine Biological Association, Plymouth"
"JMedAssocGa","J. Med. Assoc. Ga.","Journal of the Medical Association of Georgia"
"JMedAssocThai","J. Med. Assoc. Thai.","Journal of the Medical Association of Thailand"
"JMissStateMedAssoc","J. Miss. State Med. Assoc.","Journal of the Mississippi State Medical Association"
"JNatlCancerInst","J. Natl. Cancer Inst.","Journal of the National Cancer Institute"
"JNCI","JNCI","Journal of the National Cancer Institute"
"JNatlMedAssoc","J. Natl. Med. Assoc.","Journal of the National Medical Association"
"JNeurolSci","J. Neurol Sci.","Journal of the Neurological Sciences"
"JNABS","JNABS","Journal of the North American Benthological Society"
"JOperResSoc","J. Oper. Res. Soc.","Journal of the Operational Research Society"
"JOptSocAm","J. Opt. Soc. Am.","Journal of the Optical Society of America"
"JOptSocAmA","J. Opt. Soc. Am. [A]","Journal of the Optical Society of America. Part A, Optics and Image Science"
"JOptSocAmAOptImageSciVis","J. Opt. Soc. Am. [A] Opt. Image Sci. Vis.","Journal of the Optical Society of America. Part A, Optics, Image Science and Vision"
"JOP","JOP","Journal of the Pancreas"
"JRArmyMedCorps","J. R. Army Med. Corps","Journal of the Royal Army Medical Corps"
"JRCollGenPractOccasPap","J. R. Coll. Gen. Pract. [Occas. Pap.]","Journal of the Royal College of General Practitioners. Occasional Paper"
"JRCollPhysiciansLond","J. R. Coll. Physicians Lond.","Journal of the Royal College of Physicians of London"
"JRCollSurgEdinb","J. R. Coll. Surg. Edinb.","Journal of the Royal College of Surgeons of Edinburgh"
"JRNavMedServ","J. R. Nav. Med. Serv.","Journal of the Royal Naval Medical Service"
"JRSocHealth","J. R. Soc. Health","Journal of the Royal Society of Health"
"JRSocMed","J. R. Soc. Med.","Journal of the Royal Society of Medicine"
"jrss","J. Roy. Statist. Soc.","Journal of the Royal Statistical Society. Series B (Statistical Methodology)"
"jrssc","J. Roy. Statist. Soc.","Journal of the Royal Statistical Society. Series C (Applied Statistics)"
"JSingaporePaediatrSoc","J. Singapore Paediatr. Soc.","Journal of the Singapore Paediatric Society"
"JSocHealthSyst","J. Soc. Health. Syst.","Journal of the Society for Health Systems"
"JSAfrVetAssoc","J. S. Afr. Vet. Assoc.","Journal of the South African Veterinary Association"
"JTennMedAssoc","J. Tenn. Med. Assoc.","Journal of the Tennessee Medical Association"
"JTorreyBotSoc","J. Torrey Bot. Soc.","Journal of the Torrey Botanical Society"
"JThermalBiol","J. Thermal Biol.","Journal of Themal Biology"
"JTheorBiol","J. Theor. Biol.","Journal of Theoretical Biology"
"jtb","J. Theoret. Biol.","Journal of Theoretical Biology"
"JThoracCardiovascSurg","J. Thorac. Cardiovasc. Surg.","Journal of Thoracic and Cardiovascular Surgery"
"JThoracImaging","J. Thorac. Imaging","Journal of Thoracic Imaging"
"JTongjiMedUniv","J. Tongji Med. Univ.","Journal of Tongji Medical University"
"JToxicolSci","J. Toxicol. Sci.","Journal of Toxicological Sciences"
"JToxicolEnvironHealth","J. Toxicol. Environ. Health","Journal of Toxicology and Environmental Health"
"JToxicolClinToxicol","J. Toxicol. Clin. Toxicol.","Journal of Toxicology. Clinical Toxicology"
"JTraceElemElectrolytes","J. Trace Elem. Electrolytes","Journal of Trace Elements and Electrolytes"
"JTraditChinMed","J. Tradit. Chin. Med.","Journal of Traditional Chinese Medicine"
"JTrauma","J. Trauma","Journal of Trauma"
"JTropMedHyg","J. Trop. Med. Hyg.","Journal of Tropical Medicine and Hygiene"
"JTropPediatr","J. Trop. Pediatr.","Journal of Tropical Pediatrics"
"JUltrasoundMed","J. Ultrasound Med.","Journal of Ultrasound in Medicine"
"JUltrastructMolStructRes","J. Ultrastruct. Mol. Struct. Res.","Journal of Ultrastructure and Molecular Structure Research"
"JUltrastructRes","J. Ultrastruct. Res.","Journal of Ultrastructure Research"
"JUrol","J. Urol.","Journal of Urology"
"JVascRes","J. Vasc. Res.","Journal of Vascular Research"
"JVascSurg","J. Vasc. Surg.","Journal of Vascular Surgery"
"JVegSci","J. Veg. Sci.","Journal of Vegetation Science"
"JVerbLearnVerbBeh","J. Verb. Learn. Verb. Beh.","Journal of Verbal Learning and Verbal Behavior"
"JVestibularRes","J. Vestibular Res.","Journal of Vestibular Research"
"JVetDent","J. Vet. Dent.","Journal of Veterinary Dentistry"
"JVetDiagnInvest","J. Vet. Diagn. Invest.","Journal of Veterinary Diagnostic Investigation"
"JVetInternMed","J. Vet. Intern. Med.","Journal of Veterinary Internal Medicine"
"JVetMedSci","J. Vet. Med. Sci.","Journal of Veterinary Medical Science"
"JVetMedA","J. Vet. Med. A.","Journal of Veterinary Medicine A"
"JVetMedB","J. Vet. Med. B.","Journal of Veterinary Medicine B"
"JVetPharmacolTher","J. Vet. Pharmacol. Ther.","Journal of Veterinary Pharmacology and Therapeutics"
"JViralHepatitis","J. Viral. Hepatitis","Journal of Viral Hepatitis"
"JVirolMethods","J. Virol. Methods","Journal of Virological Methods"
"JVirol","J. Virol.","Journal of Virology"
"JWildlDis","J. Wildl. Dis.","Journal of Wildlife Diseases"
"JWildlManage","J. Wildl. Manage.","Journal of Wildlife Management"
"JZooWildlMed","J. Zoo Wildl. Med.","Journal of Zoo and Wildlife Medicine"
"JZoolSysEvolRes","J. Zool. Sys. Evol. Res.","Journal of Zoological Systematics and Evolutionary Research"
"JZool","J. Zool.","Journal of Zoology"
"JAssocOffAnalChem","J. Assoc. Off. Anal. Chem.","Journal- Association of Official Analytical Chemists"
"JCanDentAssoc","J. Can. Dent. Assoc.","Journal/ Canadian Dental Association. Journal de l Association Dentaire Canadien"
"JournAnnuDiabetolHotelDieu","Journ. Annu. Diabetol. Hotel Dieu","Journees Annuelles de Diabetologie de l Hotel-Dieu"
"JPENJParenterEnteralNutr","JPEN J. Parenter. Enteral. Nutr.","JPEN. Journal of Parenteral and Enteral Nutrition"
"JPMAJPakMedAssoc","JPMA J. Pak. Med. Assoc.","JPMA. Journal of the Pakistan Medical Association"
"JugoslGinekolPernatol","Jugosl. Ginekol. Pernatol.","Jugoslavenska Ginekologija I Perinatologija"
"KaibogakuZasshi","Kaibogaku Zasshi","Kaibogaku Zasshi. Journal of Anatomy"
"KakuIgaku","Kaku Igaku","Kaku Igaku (Japanese Journal of Nuclear Medicine)"
"KansMed","Kans Med.","Kansas Medicine (Topeka, KS)"
"JansenshogakuZasshi","Jansenshogaku Zasshi","Kansesshogaku Zasshi. Journal of the Japanese Association for Infectious Disease"
"KaoHsiungIHsuehKoHsuehTsaChih","Kao Hsiung I Hsueh Ko Hsueh Tsa Chih","Kao-Hsiung I Hsueh Ko Hsueh Tsa Chih [KaoHsiung Journal of Medical Sciences]"
"KardiolPol","Kardiol. Pol.","Kardiologia Polska"
"Kardiologiia","Kardiologiia","Kardiologiia"
"KeioJMed","Keio J. Med.","Keio Journal of Medicine"
"Kekkaku","Kekkaku","Kekkaku"
"KhirurgiiaMosk","Khirurgiia","Khirurgiia"
"KidneyInt","Kidney Int.","Kidney International"
"KidneyIntSuppl","Kidney Int. Suppl.","Kidney International. Supplement"
"KinderarztlPrax","Kinderarztl. Prax.","Kinderarztliche Praxis"
"KisaengchunghakChapchi","Kisaengchunghak Chapchi","Kisaengchunghak Chapchi. Korean Journal of Parasitology"
"KitasatoArchExpMed","Kitasato Arch. Exp. Med.","Kitasato Archives of Experimental Medicine"
"KlinKhir","Klin. Khir.","Klinicheskaia Khirurgiia"
"KlinMedMosk","Klin. Med.","Klinicheskaia Meditsina"
"KlinOczna","Klin. Oczna.","Klinika Oczna"
"KlinAnasthesiolIntensivther","Klin. Anasthesiol. Intensivther.","Klinische Anasthesiologie und Intensivtherapie"
"KlinMonatsblAugenheilkd","Klin. Monatsbl. Augenheilkd.","Klinische Monatsblatter fur Augenheilkunde"
"KlinPadiatr","Klin. Padiatr.","Klinische Padiatrie"
"KlinWochenschr","Klin. Wochenschr.","Klinische Wochenschrift"
"KobeJMedSci","Kobe J. Med. Sci.","Kobe Journal of Medical Sciences"
"KokubyoGakkaiZasshi","Kokubyo Gakkai Zasshi","Kokubyo Gakkai Zasshi. The Journal of the Stomatological Society, Japan"
"KokyuToJunkan","Kokyu To Junkan","Kokyu To Junkan. Respiration and Circulation"
"KoreanJInternMed","Korean J. Intern. Med.","Korean Journal of Internal Medicine"
"KJO","KJO","Korean Journal of Ophthalmology"
"KoreanJOphthalmol","Korean J. Ophthalmol.","Korean Journal of Ophthalmology"
"KoreanJParasitology","Korean J. Parasitology","Korean Journal of Parasitology"
"KosmBiolAviakosmMed","Kosm. Biol. Aviakosm. Med.","Kosmicheskaia Biologiia I Aviakosmicheskaia Meditsina"
"KurumeMedJ","Kurume Med. J.","Kurume Medical Journal"
"KyobuGeka","Kyobu Geka","Kyobu Geka. Japanese Journal of Thoracic Surgery"
"LAnneeBiologique","L'Annee Biologique","L'Annee Biologique"
"PresseMed","Presse. Med.","La Presse Medicale"
"LabMedizin","Lab. Medizin","Laboratoriums Medizin"
"LabDelo","Lab. Delo","Laboratornoe Delo"
"LabResMethodsBiolMed","Lab. Res. Methods Biol. Med.","Laboratory and Research Methods in Biology and Medicine"
"LabAnimSci","Lab. Anim. Sci.","Laboratory Animal Science"
"LabAnim","Lab. Anim.","Laboratory Animals"
"LabInvest","Lab. Invest.","Laboratory Investigation"
"Lakartidningen","Lakartidningen","Lakartidningen"
"Lancet","Lancet","Lancet"
"LandscapeEcol","Landscape Ecol.","Landscape Ecology"
"LangenbecksArchChir","Langenbecks Arch. Chir.","Langenbecks Archiv fur Chirurgie"
"Langmuir","Langmuir.","Langmuir"
"LangSpeech","Lang. Speech","Language and Speech"
"Laryngorhinootologie","Laryngorhinootologie","Laryngo-Rhino-Otologie"
"Laryngoscope","Laryngoscope","Laryngoscope"
"LasersSurgMed","Lasers Surg. Med.","Lasers in Surgery and Medicine"
"LasersSurgMedSuppl","Lasers Surg. Med. Suppl.","Lasers in Surgery and Medicine. Supplement"
"LeLait","Le Lait","Le Lait"
